time Adot Adot_std
3488800 8.4646619e-05 2.3264523e-05
3489000 8.2621158e-05 6.3823417e-06
3489200 0.00011245842 1.2855385e-05
3489400 0.00011070675 3.8428615e-05
3489600 0.00011209069 2.0346549e-05
3489800 0.00010844386 3.1562433e-05
3490000 0.00010545848 2.9410115e-05
3490200 0.00010565832 4.8319042e-05
3490400 0.00010971779 3.6378955e-05
3490600 0.00010511836 4.2711168e-05
3490800 0.00010126222 2.2564327e-05
3491000 9.5291879e-05 2.902305e-05
3491200 9.5329099e-05 3.780995e-05
3491400 0.00010159975 1.3145641e-05
3491600 8.9587976e-05 1.4862611e-05
3491800 0.00010779232 1.9647137e-05
3492000 8.5149768e-05 3.6924453e-05
3492200 9.2413045e-05 3.6059923e-05
3492400 8.247679e-05 3.4671836e-05
3492600 8.9728361e-05 2.9848011e-05
3492800 9.3804556e-05 2.0005093e-05
3493000 7.6869544e-05 2.4809833e-05
3493200 8.108932e-05 1.9387861e-05
3493400 7.9592513e-05 2.3231743e-05
3493600 8.1372508e-05 2.3280898e-05
3493800 8.5477606e-05 2.9040214e-05
3494000 0.00010075722 3.9301334e-05
3494200 0.00010242124 2.0765023e-05
3494400 7.3288689e-05 4.6602072e-05
3494600 9.2774146e-05 3.071342e-05
3494800 0.00010466733 3.3488427e-05
3495000 6.8747219e-05 3.0813137e-05
3495200 9.7001814e-05 4.1194303e-05
3495400 9.3874933e-05 2.7706442e-05
3495600 9.7799572e-05 3.9510155e-05
3495800 0.00010220231 4.2248965e-05
3496000 0.00010502646 4.3934397e-05
3496200 9.9569171e-05 4.6010805e-05
3496400 9.9097601e-05 2.9931298e-05
3496600 0.00011244531 1.6359794e-05
3496800 9.3347932e-05 2.7808097e-05
3497000 8.9229939e-05 3.7788912e-05
3497200 9.8265461e-05 2.5696482e-05
3497400 7.763858e-05 4.227681e-05
3497600 9.7968926e-05 3.5790224e-05
3497800 0.00010371029 2.6188617e-05
3498000 0.00010376969 3.9919097e-05
3498200 9.6690808e-05 3.9235781e-05
3498400 8.7537511e-05 3.3648481e-05
3498600 0.0001102477 2.5636783e-05
3498800 9.181159e-05 4.788374e-06
3499000 0.0001200807 2.6990996e-05
3499200 0.00010069951 5.1603142e-05
3499400 9.965762e-05 2.8060765e-05
3499600 8.6180822e-05 4.2638394e-05
3499800 9.32749e-05 3.552451e-05
3500000 9.1246301e-05 2.9457192e-05
3500200 0.00010335292 2.7344317e-05
3500400 0.00010038733 2.3119881e-05
3500600 9.5642449e-05 1.6395739e-05
3500800 7.9969205e-05 4.0231452e-05
3501000 8.2832955e-05 5.2153019e-05
3501200 9.6746763e-05 2.8386065e-05
3501400 9.4290195e-05 2.3963713e-05
3501600 9.4740154e-05 3.0070972e-05
3501800 0.0001032427 3.5292266e-05
3502000 9.8033885e-05 2.826718e-05
3502200 0.00010404445 4.6702748e-05
3502400 9.4327393e-05 4.0692699e-05
3502600 0.00010659909 4.6953682e-05
3502800 0.00010444213 1.5218153e-05
3503000 0.00010024991 6.0149487e-06
3503200 0.00010029357 3.4159228e-05
3503400 0.00010060241 3.3616205e-05
3503600 9.6491297e-05 3.3379309e-05
3503800 0.00010471496 3.5906901e-05
3504000 0.00010859732 2.487834e-05
3504200 0.00011173037 2.6081459e-05
3504400 8.8210444e-05 1.8152084e-05
3504600 0.00010249001 3.0779902e-05
3504800 9.6395163e-05 3.1602797e-05
3505000 8.4853842e-05 2.9656838e-05
3505200 9.1019516e-05 4.2528835e-05
3505400 8.8039684e-05 3.5020141e-05
3505600 8.5852569e-05 3.6834639e-05
3505800 9.1168946e-05 3.742768e-05
3506000 9.0902625e-05 3.4028868e-05
3506200 0.00010240042 1.8108395e-05
3506400 0.00010641 2.6533796e-05
3506600 0.00010379188 3.6341938e-05
3506800 9.8108535e-05 3.4845345e-05
3507000 0.00010088134 3.0583415e-05
3507200 9.9679389e-05 3.4250087e-05
3507400 9.7049698e-05 3.4373502e-05
3507600 0.00011843914 3.772087e-05
3507800 8.2644101e-05 2.6405165e-05
3508000 9.539168e-05 4.2855521e-05
3508200 8.9050569e-05 6.0944198e-05
3508400 0.00010375338 4.8018941e-05
3508600 0.0001058047 4.4878313e-05
3508800 9.8302311e-05 2.5887544e-05
3509000 0.00010823179 3.7196536e-05
3509200 8.9638907e-05 3.8740207e-05
3509400 9.2460222e-05 4.2263316e-05
3509600 8.9438715e-05 3.476223e-05
3509800 9.6789876e-05 4.4062165e-05
3510000 9.9527112e-05 1.979583e-05
3510200 9.9106002e-05 3.2246703e-05
3510400 0.00010724002 3.2128115e-05
3510600 9.4961291e-05 3.9431841e-05
3510800 9.8613873e-05 3.7816162e-05
3511000 0.00010515716 2.1067745e-05
3511200 0.00010559324 2.1773237e-05
3511400 8.7250084e-05 6.3055081e-05
3511600 8.6261321e-05 3.6063851e-05
3511800 0.00010103289 2.8849423e-05
3512000 8.7416283e-05 4.0830293e-05
3512200 0.00010770345 3.8719183e-05
3512400 9.6770481e-05 2.7129464e-05
3512600 0.00010866466 3.8346836e-05
3512800 0.00011014777 2.5354727e-05
3513000 9.0616895e-05 3.0797361e-05
3513200 0.00010877967 3.1780307e-05
3513400 0.00011543576 3.2229187e-05
3513600 9.7177206e-05 4.3527563e-05
3513800 0.00011159706 3.9259727e-05
3514000 9.9001797e-05 3.7079953e-05
3514200 8.4386766e-05 3.0837432e-05
3514400 9.2810326e-05 5.0134766e-05
3514600 9.8127288e-05 5.4534443e-05
3514800 0.00010039023 3.1393523e-05
3515000 0.00011027682 3.0267306e-05
3515200 0.00010031129 2.5197206e-05
3515400 9.4220983e-05 3.4647785e-05
