time Area Area_std NumInNet NumInNet_std
4340000 1663.3122 436.54267 1711.3333 259.52435
4340200 1663.5376 436.67638 1711.3333 259.52435
4340400 1663.7799 436.79845 1711.3333 259.52435
4340600 1664.0239 436.92286 1711.3333 259.52435
4340800 1664.2351 437.05146 1712 260.46625
4341000 1664.466 437.17943 1712 260.46625
4341200 1664.6824 437.29741 1713.6667 260.65089
4341400 1664.9132 437.42398 1713.6667 260.65089
4341600 1665.1617 437.55853 1713.6667 260.65089
4341800 1665.406 437.67759 1715 261.0913
4342000 1665.634 437.82498 1715 261.0913
4342200 1665.8879 437.9659 1715 261.0913
4342400 1666.1373 438.09059 1715 261.0913
4342600 1666.3676 438.19343 1715 261.0913
4342800 1666.6192 438.33312 1715 261.0913
4343000 1666.8499 438.42686 1715 261.0913
4343200 1667.0921 438.56493 1715 261.0913
4343400 1667.3178 438.69439 1715 261.0913
4343600 1667.5497 438.82166 1715 261.0913
4343800 1667.7857 438.94705 1716.3333 260.09528
4344000 1668.0225 439.08127 1716.3333 260.09528
4344200 1668.2374 439.17432 1716.3333 260.09528
4344400 1668.4783 439.28671 1716.3333 260.09528
4344600 1668.7111 439.40126 1716.3333 260.09528
4344800 1668.9523 439.53423 1716.3333 260.09528
4345000 1669.1934 439.65549 1716.3333 260.09528
4345200 1669.4275 439.77768 1717.6667 259.15289
4345400 1669.6498 439.88466 1717.6667 259.15289
4345600 1669.8736 439.99899 1717.6667 259.15289
4345800 1670.1058 440.1413 1718 259.62409
4346000 1670.3104 440.27284 1718 259.62409
4346200 1670.5511 440.38442 1718.6667 259.17862
4346400 1670.7755 440.48085 1718.6667 259.17862
4346600 1671.0096 440.58576 1718.6667 259.17862
4346800 1671.233 440.70098 1719.3333 260.12091
4347000 1671.4694 440.7961 1719.3333 260.12091
4347200 1671.68 440.88453 1719.3333 260.12091
4347400 1671.8966 441.00427 1719.3333 260.12091
4347600 1672.1259 441.11718 1719.3333 260.12091
4347800 1672.3793 441.22829 1719.3333 260.12091
4348000 1672.6178 441.33437 1719.3333 260.12091
4348200 1672.8509 441.45512 1719.3333 260.12091
4348400 1673.0995 441.58165 1719.3333 260.12091
4348600 1673.3342 441.68848 1719.3333 260.12091
4348800 1673.577 441.80726 1719.6667 260.59206
