time Area Area_std NumInNet
2282200 884.55737 112.79847 1007.6667
2282400 884.63848 112.79801 1007.6667
2282600 884.73494 112.81297 1007.6667
2282800 884.81235 112.82203 1008.3333
2283000 884.88457 112.83107 1008.3333
2283200 884.96196 112.84012 1008.3333
2283400 885.05399 112.85634 1008.3333
2283600 885.14348 112.89425 1008.3333
2283800 885.2258 112.92605 1008.3333
2284000 885.31668 112.94219 1008.3333
2284200 885.41669 112.95534 1009
2284400 885.50971 112.96513 1009
2284600 885.59759 112.98844 1009
2284800 885.68838 113.00564 1009
2285000 885.78251 113.01518 1009
2285200 885.87023 113.03672 1009
2285400 885.95573 113.04734 1009
2285600 886.03867 113.06052 1009
2285800 886.12124 113.07413 1009
2286000 886.19025 113.08194 1009
2286200 886.28787 113.12629 1009.6667
2286400 886.3766 113.15305 1009.6667
2286600 886.44958 113.1752 1009.6667
2286800 886.53201 113.20444 1009.6667
2287000 886.60327 113.21885 1009.6667
2287200 886.69066 113.21476 1009.6667
2287400 886.7694 113.22871 1009.6667
2287600 886.85051 113.25835 1009.6667
2287800 886.93925 113.28062 1009.6667
2288000 887.02888 113.31347 1009.6667
2288200 887.11121 113.34204 1009.6667
2288400 887.19626 113.37049 1009.6667
2288600 887.29032 113.40478 1009.6667
2288800 887.37485 113.42225 1009.6667
2289000 887.46303 113.4276 1009.6667
2289200 887.54013 113.4503 1009.6667
2289400 887.60851 113.46497 1009.6667
2289600 887.68814 113.46301 1009.6667
2289800 887.77759 113.46439 1009.6667
2290000 887.86806 113.48237 1009.6667
2290200 887.95697 113.49939 1009.6667
2290400 888.05279 113.51444 1009.6667
2290600 888.13867 113.5222 1009.6667
2290800 888.22062 113.54634 1010.3333
2291000 888.31234 113.56744 1010.3333
2291200 888.39698 113.56697 1010.3333
2291400 888.48874 113.58017 1010.3333
2291600 888.57268 113.5974 1010.3333
2291800 888.66182 113.59116 1010.3333
2292000 888.73913 113.59282 1010.3333
2292200 888.83878 113.60436 1010.3333
2292400 888.92816 113.6112 1010.3333
2292600 889.02184 113.5952 1010.3333
2292800 889.11865 113.60762 1010.3333
2293000 889.23226 113.62422 1010.3333
2293200 889.3192 113.61757 1011
2293400 889.42346 113.6274 1011
2293600 889.50691 113.64211 1011
2293800 889.57956 113.65379 1011
2294000 889.66184 113.66827 1011
2294200 889.73965 113.67254 1011
2294400 889.82117 113.67804 1011
2294600 889.8976 113.67945 1011
2294800 889.99546 113.69464 1011.6667
2295000 890.08205 113.69697 1011.6667
2295200 890.15954 113.72133 1011.6667
2295400 890.25664 113.73911 1011.6667
2295600 890.34819 113.76696 1011.6667
2295800 890.42666 113.77547 1012.3333
2296000 890.51915 113.78826 1012.3333
2296200 890.60152 113.79391 1012.3333
2296400 890.69189 113.81313 1012.3333
2296600 890.78115 113.81646 1012.3333
2296800 890.87431 113.81861 1012.3333
2297000 890.98997 113.83681 1012.3333
2297200 891.09161 113.86084 1012.3333
2297400 891.1968 113.85281 1012.3333
2297600 891.2896 113.88376 1012.3333
2297800 891.38055 113.90788 1012.3333
2298000 891.46559 113.92018 1012.3333
2298200 891.55808 113.94619 1013
2298400 891.65673 113.95636 1013
2298600 891.73007 113.96943 1013
2298800 891.80837 113.98552 1013
2299000 891.88882 114.01306 1013
2299200 891.97962 114.04976 1013
2299400 892.07139 114.07811 1013
2299600 892.15566 114.08182 1013
2299800 892.24977 114.09615 1013
2300000 892.31785 114.11781 1013
2300200 892.40247 114.13402 1013
2300400 892.48671 114.13553 1013
2300600 892.57982 114.14397 1013
2300800 892.67426 114.16236 1013
2301000 892.771 114.15847 1013
2301200 892.87348 114.17334 1013
2301400 892.96022 114.18792 1013
2301600 893.03469 114.20843 1013
2301800 893.12521 114.21943 1013
2302000 893.2038 114.22851 1013
2302200 893.28805 114.24224 1013
2302400 893.37951 114.24461 1013
2302600 893.47701 114.26233 1013
2302800 893.55946 114.27514 1013
2303000 893.64231 114.29799 1013
2303200 893.7096 114.33217 1013.6667
2303400 893.77313 114.35898 1013.6667
2303600 893.85805 114.3755 1013.6667
2303800 893.94341 114.38594 1013.6667
2304000 894.01028 114.40385 1013.6667
2304200 894.06855 114.42309 1013.6667
2304400 894.14549 114.42425 1013.6667
2304600 894.23264 114.43192 1013.6667
2304800 894.31992 114.44907 1013.6667
2305000 894.40152 114.45894 1013.6667
2305200 894.49576 114.46893 1013.6667
2305400 894.59569 114.49047 1013.6667
2305600 894.67222 114.50822 1013.6667
2305800 894.75266 114.52428 1014.3333
2306000 894.84254 114.52776 1014.3333
2306200 894.92002 114.53255 1014.3333
2306400 894.99807 114.5394 1014.3333
2306600 895.08778 114.56153 1014.3333
2306800 895.17689 114.57675 1014.3333
2307000 895.26281 114.60426 1014.3333
2307200 895.36069 114.61723 1014.3333
2307400 895.44996 114.63985 1014.3333
2307600 895.53727 114.6624 1014.3333
2307800 895.61132 114.69324 1014.3333
2308000 895.68164 114.70693 1014.3333
2308200 895.76367 114.72581 1014.3333
2308400 895.8167 114.7508 1014.3333
2308600 895.89104 114.78383 1014.3333
2308800 895.96945 114.79904 1014.3333
2309000 896.05553 114.82071 1014.3333
2309200 896.14462 114.83975 1014.3333
2309400 896.23079 114.86855 1014.3333
2309600 896.31973 114.90182 1014.3333
2309800 896.40301 114.90008 1014.3333
2310000 896.48845 114.90766 1014.3333
2310200 896.58626 114.90064 1014.3333
2310400 896.68215 114.90553 1014.3333
2310600 896.77095 114.9174 1014.3333
2310800 896.85219 114.94112 1014.3333
2311000 896.93733 114.95725 1014.3333
2311200 897.01143 114.99158 1014.3333
2311400 897.10376 115.02616 1014.3333
2311600 897.19031 115.05238 1014.3333
2311800 897.29085 115.07384 1014.3333
2312000 897.38843 115.09861 1014.3333
2312200 897.47666 115.11454 1014.3333
2312400 897.57124 115.13162 1014.3333
2312600 897.64763 115.14999 1014.3333
2312800 897.73103 115.15397 1014.3333
2313000 897.81012 115.18968 1014.3333
2313200 897.87818 115.19635 1014.3333
2313400 897.96251 115.2127 1014.3333
2313600 898.052 115.22439 1014.3333
2313800 898.12667 115.22758 1014.3333
2314000 898.21661 115.23486 1014.3333
2314200 898.2946 115.24177 1014.3333
2314400 898.37961 115.26243 1014.3333
2314600 898.45492 115.27206 1014.3333
2314800 898.54031 115.28514 1014.3333
2315000 898.62664 115.30185 1014.3333
2315200 898.70829 115.32544 1014.3333
2315400 898.80182 115.35679 1014.3333
2315600 898.89179 115.36487 1014.3333
2315800 898.97703 115.39224 1014.3333
2316000 899.07237 115.42407 1014.3333
2316200 899.1706 115.45286 1015
2316400 899.26761 115.47841 1015
2316600 899.358 115.48373 1015
2316800 899.42408 115.50599 1015
2317000 899.49654 115.51137 1015
2317200 899.56882 115.53675 1015.3333
2317400 899.63778 115.54467 1015.3333
