time Area Area_std
3576200 1148.1322 157.31211
3576400 1148.1947 157.31801
3576600 1148.2611 157.30636
3576800 1148.3353 157.3112
3577000 1148.4171 157.31192
3577200 1148.5021 157.31777
3577400 1148.5743 157.32843
3577600 1148.662 157.3451
3577800 1148.7386 157.35005
3578000 1148.8076 157.33265
3578200 1148.8762 157.33098
3578400 1148.9288 157.35693
3578600 1149.0049 157.35443
3578800 1149.0965 157.35993
3579000 1149.1874 157.37414
3579200 1149.2796 157.39893
3579400 1149.3581 157.39694
3579600 1149.4306 157.40958
3579800 1149.5014 157.42196
3580000 1149.5824 157.4364
3580200 1149.6703 157.4652
3580400 1149.7493 157.50222
3580600 1149.8211 157.52924
3580800 1149.8895 157.54664
3581000 1149.9621 157.57515
3581200 1150.0412 157.6134
3581400 1150.1098 157.64551
3581600 1150.1895 157.66914
3581800 1150.2626 157.6869
3582000 1150.3455 157.72365
3582200 1150.4332 157.76995
3582400 1150.5167 157.78959
3582600 1150.6097 157.81883
3582800 1150.6922 157.82746
3583000 1150.7592 157.85483
3583200 1150.8275 157.88494
3583400 1150.9028 157.91894
3583600 1150.9763 157.93861
3583800 1151.0464 157.96878
3584000 1151.1309 157.99673
3584200 1151.2049 158.01781
3584400 1151.3066 158.04914
3584600 1151.3848 158.08327
3584800 1151.4668 158.1254
3585000 1151.5462 158.14733
3585200 1151.6261 158.1776
3585400 1151.7021 158.19158
3585600 1151.7744 158.21676
3585800 1151.8692 158.24305
3586000 1151.952 158.26248
3586200 1152.035 158.28669
3586400 1152.1338 158.30813
3586600 1152.231 158.33428
3586800 1152.3141 158.33899
3587000 1152.395 158.36015
3587200 1152.476 158.39391
3587400 1152.5602 158.41445
3587600 1152.6527 158.45488
3587800 1152.7475 158.48316
3588000 1152.8371 158.51903
3588200 1152.9257 158.55042
3588400 1153.0098 158.58268
3588600 1153.0924 158.61111
3588800 1153.1878 158.64328
3589000 1153.2848 158.68119
3589200 1153.3851 158.72661
3589400 1153.4734 158.75758
3589600 1153.572 158.79248
3589800 1153.6688 158.81787
