Time AvStrain StdStrain Time_1e5
64400 0.017719659 0.0011205568 0.644
64600 0.017761316 0.001146869 0.646
64800 0.017836871 0.0011429978 0.648
65000 0.017872441 0.0011331088 0.65
65200 0.017922756 0.001110854 0.652
65400 0.017975724 0.0011112855 0.654
65600 0.018026907 0.0011038 0.656
65800 0.018086948 0.0010835496 0.658
66000 0.018162171 0.0010922932 0.66
66200 0.01820832 0.0010663001 0.662
66400 0.018247988 0.0010405513 0.664
66600 0.018276985 0.0010384308 0.666
66800 0.018327899 0.0010251673 0.668
67000 0.018372805 0.0010166791 0.67
67200 0.0184306 0.00099918988 0.672
67400 0.018462153 0.00099021471 0.674
67600 0.018519715 0.00099354464 0.676
67800 0.018590117 0.00098465148 0.678
68000 0.018647736 0.00097166479 0.68
68200 0.018705703 0.00096196986 0.682
68400 0.01875303 0.00095887339 0.684
68600 0.01880858 0.00093111436 0.686
68800 0.018873539 0.00093593195 0.688
69000 0.018932805 0.00092341312 0.69
69200 0.018980238 0.00092973815 0.692
69400 0.019030432 0.00093870343 0.694
69600 0.01908571 0.00093982457 0.696
69800 0.019161213 0.00094288963 0.698
70000 0.019239039 0.00096093621 0.7
70200 0.019328786 0.00098386856 0.702
70400 0.019402667 0.00098721194 0.704
70600 0.019482954 0.00099706564 0.706
70800 0.019541145 0.0010096185 0.708
71000 0.019601355 0.00099591404 0.71
71200 0.019671821 0.00099626352 0.712
71400 0.019753988 0.0010046691 0.714
71600 0.019827619 0.0009921474 0.716
71800 0.019889143 0.00099616099 0.718
72000 0.019951594 0.00099314171 0.72
72200 0.020016707 0.00097805924 0.722
72400 0.02006039 0.0009729287 0.724
72600 0.020102458 0.0009841081 0.726
72800 0.020175668 0.00099117877 0.728
73000 0.020226467 0.0010192462 0.73
73200 0.020288305 0.0010224192 0.732
73400 0.020330309 0.0010106576 0.734
73600 0.020386225 0.0010043425 0.736
73800 0.020415672 0.0010116696 0.738
74000 0.020478504 0.0010338551 0.74
74200 0.020522157 0.0010270022 0.742
74400 0.020573365 0.001036202 0.744
74600 0.020651907 0.0010468494 0.746
74800 0.02069477 0.0010348909 0.748
75000 0.020729876 0.001020649 0.75
75200 0.020769786 0.001029583 0.752
75400 0.020834007 0.00102373 0.754
75600 0.020878297 0.00102947 0.756
75800 0.020939589 0.0010340148 0.758
76000 0.020990292 0.0010521464 0.76
76200 0.021034885 0.0010750971 0.762
76400 0.02109205 0.0010498061 0.764
76600 0.021112791 0.001056517 0.766
76800 0.021132336 0.0010610108 0.768
77000 0.021165863 0.0010712827 0.77
77200 0.021242206 0.0010859267 0.772
77400 0.02130806 0.0010991349 0.774
77600 0.021387525 0.0010910098 0.776
77800 0.021437781 0.0010760087 0.778
78000 0.021506035 0.0010750829 0.78
78200 0.021578258 0.0010816854 0.782
78400 0.021633417 0.0010872033 0.784
78600 0.02167234 0.0011058911 0.786
78800 0.021723168 0.0011101236 0.788
79000 0.021790182 0.0011291274 0.79
79200 0.021854779 0.0011382469 0.792
79400 0.021917054 0.0011472511 0.794
79600 0.021987998 0.0011299687 0.796
79800 0.02204633 0.0011197201 0.798
80000 0.022109752 0.0011106576 0.8
80200 0.022174623 0.0011024863 0.802
80400 0.022247628 0.0010988372 0.804
80600 0.022320696 0.0010923195 0.806
80800 0.022385789 0.0010730702 0.808
81000 0.022421058 0.0010481044 0.81
81200 0.022465068 0.0010315403 0.812
81400 0.02250468 0.0010194794 0.814
81600 0.022555897 0.0010100308 0.816
81800 0.022627966 0.00098483078 0.818
82000 0.022696058 0.00097236023 0.82
82200 0.022770361 0.00094268014 0.822
82400 0.022812822 0.00093479776 0.824
82600 0.022870098 0.00090782642 0.826
82800 0.022938584 0.00090586734 0.828
83000 0.023008324 0.00090713057 0.83
83200 0.023074384 0.00088100558 0.832
83400 0.023130266 0.00086575252 0.834
83600 0.023181749 0.0008461823 0.836
83800 0.023234101 0.00084003885 0.838
84000 0.023298224 0.00083895787 0.84
84200 0.023330927 0.00086296705 0.842
84400 0.023380045 0.00089589717 0.844
84600 0.02341475 0.00088759652 0.846
84800 0.023475749 0.00089455355 0.848
85000 0.023530406 0.00090227332 0.85
85200 0.023586955 0.00089642883 0.852
85400 0.023623922 0.00089555435 0.854
85600 0.023666834 0.00089074164 0.856
85800 0.023714011 0.00090458339 0.858
86000 0.023768354 0.00091728334 0.86
86200 0.023802754 0.00092151749 0.862
86400 0.023841116 0.00092470803 0.864
86600 0.023890883 0.00092855554 0.866
86800 0.02394607 0.00093872633 0.868
87000 0.02400427 0.00093896316 0.87
87200 0.024088501 0.00093793815 0.872
87400 0.024178127 0.00091768158 0.874
87600 0.024258728 0.00092348962 0.876
87800 0.024333399 0.00095482977 0.878
88000 0.024412414 0.00096216888 0.88
88200 0.024457139 0.00095992503 0.882
88400 0.024530293 0.00095474402 0.884
88600 0.024598523 0.00096800163 0.886
88800 0.024674465 0.00098679097 0.888
89000 0.0247331 0.001012347 0.89
89200 0.024796228 0.001030764 0.892
89400 0.024854975 0.0010382013 0.894
89600 0.024899678 0.0010443408 0.896
89800 0.024954842 0.0010505391 0.898
90000 0.02500054 0.0010419684 0.9
90200 0.025034788 0.0010372038 0.902
90400 0.025082238 0.00105115 0.904
90600 0.02513836 0.001052357 0.906
90800 0.02520109 0.0010503373 0.908
91000 0.02525961 0.0010725945 0.91
91200 0.025308131 0.0010798834 0.912
91400 0.025377557 0.0011079405 0.914
91600 0.025434219 0.0011308606 0.916
91800 0.02547533 0.0011325248 0.918
92000 0.025546357 0.0011329434 0.92
92200 0.025600647 0.0011309704 0.922
92400 0.025641688 0.0011101342 0.924
92600 0.025699704 0.0010967356 0.926
92800 0.02574612 0.0010746276 0.928
93000 0.025818001 0.0010703994 0.93
93200 0.025864881 0.0010518934 0.932
93400 0.025906764 0.0010495547 0.934
93600 0.025969856 0.0010545942 0.936
93800 0.026015045 0.0010539089 0.938
94000 0.026056007 0.0010284202 0.94
94200 0.026117489 0.0010272277 0.942
94400 0.026161748 0.0010371226 0.944
94600 0.026196466 0.001032745 0.946
94800 0.026241313 0.0010661512 0.948
95000 0.026275956 0.0010865465 0.95
95200 0.02629602 0.0010605169 0.952
95400 0.026343949 0.0010598614 0.954
95600 0.026389109 0.0010955247 0.956
95800 0.026451119 0.0011493612 0.958
96000 0.02651841 0.0011896385 0.96
96200 0.026573446 0.0012098532 0.962
96400 0.026640309 0.0012463394 0.964
96600 0.026696754 0.0012615949 0.966
96800 0.026772 0.0012806728 0.968
97000 0.026819794 0.0013037252 0.97
97200 0.026886016 0.0013047407 0.972
97400 0.026929025 0.0012883287 0.974
97600 0.026992277 0.0013013953 0.976
97800 0.027041881 0.001313781 0.978
98000 0.02707956 0.001317023 0.98
98200 0.027125318 0.0013097643 0.982
98400 0.027181244 0.0013172461 0.984
98600 0.027243752 0.0013329676 0.986
98800 0.02727829 0.0013520681 0.988
99000 0.027348317 0.0013693322 0.99
99200 0.027379532 0.0013735298 0.992
99400 0.027427345 0.0013814746 0.994
99600 0.027485206 0.0013893489 0.996
99800 0.027532465 0.0014145935 0.998
100000 0.027572199 0.0014220517 1
100200 0.027597891 0.0014314507 1.002
100400 0.027620468 0.0014465288 1.004
100600 0.027651653 0.0014575003 1.006
100800 0.027685469 0.0014728857 1.008
101000 0.027738836 0.0014685752 1.01
101200 0.027777255 0.0014694738 1.012
101400 0.027808002 0.0014535051 1.014
101600 0.027854439 0.0014510195 1.016
101800 0.027883631 0.001453089 1.018
102000 0.027931605 0.0014494783 1.02
102200 0.027974037 0.0014438483 1.022
102400 0.028035534 0.0014455899 1.024
102600 0.028093091 0.0014593575 1.026
102800 0.028151812 0.0014707096 1.028
103000 0.028210849 0.0014595469 1.03
103200 0.028253164 0.0014641746 1.032
103400 0.028302484 0.001481742 1.034
103600 0.028347423 0.0014840817 1.036
103800 0.028409528 0.0014908723 1.038
104000 0.028486442 0.0015039921 1.04
104200 0.028526572 0.0015013356 1.042
104400 0.028559326 0.0015070483 1.044
104600 0.028620785 0.00151383 1.046
104800 0.028684591 0.0015272381 1.048
105000 0.028736948 0.0015358503 1.05
105200 0.028789879 0.0015206511 1.052
105400 0.028832715 0.0015198263 1.054
105600 0.028866008 0.0015034499 1.056
105800 0.028920947 0.0014971017 1.058
106000 0.02897703 0.0015044846 1.06
