Time Strain Concentration
72800 0.020037175 0.19328763
73000 0.020127184 0.19325352
73200 0.020217423 0.19321934
73400 0.020326137 0.19317817
73600 0.020393095 0.19315282
73800 0.020478984 0.1931203
74000 0.020557724 0.1930905
74200 0.020641144 0.19305894
74400 0.020713879 0.19303143
74600 0.02078369 0.19300503
74800 0.020847621 0.19298085
75000 0.020915221 0.1929553
75200 0.021019186 0.192916
75400 0.021087816 0.19289007
75600 0.021181855 0.19285455
75800 0.021267021 0.19282238
76000 0.021383977 0.19277823
76200 0.021462259 0.19274868
76400 0.021557847 0.19271261
76600 0.02163288 0.19268431
76800 0.021698292 0.19265963
77000 0.021758826 0.19263681
77200 0.021808004 0.19261826
77400 0.021886006 0.19258886
77600 0.021947136 0.19256582
77800 0.022020655 0.19253812
78000 0.022086342 0.19251337
78200 0.022178654 0.1924786
78400 0.022267158 0.19244527
78600 0.022375316 0.19240456
78800 0.022463901 0.19237122
79000 0.022496507 0.19235895
79200 0.022551364 0.19233831
79400 0.022628261 0.19230939
79600 0.022680512 0.19228974
79800 0.022756496 0.19226117
80000 0.02282438 0.19223565
80200 0.022856601 0.19222354
80400 0.022943289 0.19219096
80600 0.023065168 0.19214517
80800 0.023166104 0.19210726
81000 0.023277977 0.19206526
81200 0.023363303 0.19203323
81400 0.023401719 0.19201881
81600 0.023478249 0.1919901
81800 0.023581887 0.19195122
82000 0.023631039 0.19193279
82200 0.023704042 0.19190541
82400 0.023790432 0.19187303
82600 0.02387622 0.19184088
82800 0.023923326 0.19182323
83000 0.023992538 0.1917973
83200 0.024073449 0.19176699
83400 0.024110418 0.19175315
83600 0.024191431 0.19172281
83800 0.024285078 0.19168776
84000 0.024363488 0.19165841
84200 0.024460743 0.19162202
84400 0.024533633 0.19159476
84600 0.024616545 0.19156375
84800 0.024732632 0.19152035
85000 0.024826389 0.19148531
85200 0.02491683 0.19145152
85400 0.024959957 0.19143541
85600 0.025035222 0.1914073
85800 0.025083181 0.19138939
86000 0.025160571 0.19136049
86200 0.025212773 0.191341
86400 0.025287962 0.19131294
86600 0.025381023 0.19127822
86800 0.025402814 0.19127009
87000 0.025414925 0.19126557
87200 0.025441875 0.19125552
87400 0.025486179 0.19123899
87600 0.025520602 0.19122615
87800 0.025603338 0.1911953
88000 0.025625465 0.19118705
88200 0.02567024 0.19117036
88400 0.025684242 0.19116514
88600 0.025737634 0.19114524
88800 0.025779476 0.19112965
89000 0.025840893 0.19110676
89200 0.025920169 0.19107723
89400 0.026021236 0.19103959
89600 0.02609441 0.19101234
89800 0.026115825 0.19100437
90000 0.026165391 0.19098591
90200 0.026210243 0.19096922
90400 0.026250281 0.19095432
90600 0.026274114 0.19094545
90800 0.026294271 0.19093795
91000 0.026304277 0.19093423
91200 0.026296096 0.19093727
91400 0.026278603 0.19094378
91600 0.026272966 0.19094588
91800 0.026315376 0.1909301
92000 0.026379775 0.19090614
92200 0.026432685 0.19088646
92400 0.026495384 0.19086314
92600 0.026507462 0.19085865
92800 0.026553382 0.19084157
93000 0.026601152 0.19082381
93200 0.026664852 0.19080013
93400 0.026711981 0.19078262
93600 0.026781071 0.19075694
93800 0.026815535 0.19074414
94000 0.026859478 0.19072781
94200 0.026884634 0.19071847
94400 0.026946676 0.19069543
94600 0.026989516 0.19067952
94800 0.027061975 0.19065261
95000 0.027128232 0.19062802
95200 0.027172469 0.1906116
95400 0.027219442 0.19059417
95600 0.027288541 0.19056853
95800 0.02730925 0.19056084
96000 0.027365837 0.19053985
96200 0.027416812 0.19052095
96400 0.02745177 0.19050798
96600 0.027448719 0.19050911
96800 0.027455695 0.19050653
97000 0.027494277 0.19049222
97200 0.027543052 0.19047414
97400 0.027565183 0.19046593
97600 0.027614603 0.19044761
97800 0.027643651 0.19043685
98000 0.027691969 0.19041894
98200 0.027753513 0.19039613
98400 0.02782294 0.19037041
98600 0.027879217 0.19034957
98800 0.02792747 0.1903317
99000 0.02797662 0.1903135
99200 0.028043772 0.19028864
99400 0.028153092 0.19024817
99600 0.028250617 0.19021209
99800 0.028364011 0.19017014
100000 0.02843506 0.19014387
100200 0.028526851 0.19010993
100400 0.028586177 0.190088
100600 0.028626055 0.19007326
100800 0.028691264 0.19004916
101000 0.028725528 0.1900365
101200 0.028791349 0.19001219
101400 0.028839043 0.18999457
101600 0.028915763 0.18996624
101800 0.029004355 0.18993353
102000 0.029059351 0.18991323
102200 0.029121309 0.18989036
102400 0.029188797 0.18986546
102600 0.029263508 0.1898379
102800 0.02931739 0.18981802
103000 0.029375717 0.18979651
103200 0.029442127 0.18977203
103400 0.029512337 0.18974614
103600 0.029569398 0.18972511
103800 0.029602998 0.18971273
104000 0.029625389 0.18970448
104200 0.029676843 0.18968552
104400 0.02971934 0.18966986
104600 0.029797066 0.18964123
104800 0.029881292 0.18961021
105000 0.029959884 0.18958128
105200 0.030002988 0.18956541
105400 0.030040213 0.18955171
105600 0.030103977 0.18952824
105800 0.030145972 0.18951279
106000 0.030211596 0.18948865
106200 0.030264629 0.18946914
106400 0.030342359 0.18944055
106600 0.030391545 0.18942247
106800 0.030435724 0.18940623
107000 0.030500423 0.18938244
107200 0.030570339 0.18935675
107400 0.03061481 0.18934041
107600 0.03065551 0.18932545
107800 0.030719959 0.18930178
108000 0.030792783 0.18927503
108200 0.030833536 0.18926007
108400 0.030838324 0.18925831
108600 0.030861494 0.1892498
108800 0.030916199 0.18922972
109000 0.030962083 0.18921287
109200 0.030983681 0.18920495
109400 0.031005793 0.18919683
109600 0.031054593 0.18917892
109800 0.031096374 0.18916359
110000 0.031146113 0.18914534
110200 0.031206127 0.18912333
110400 0.031244995 0.18910907
110600 0.031312361 0.18908436
110800 0.031370307 0.18906312
111000 0.03140824 0.18904921
111200 0.031483731 0.18902154
111400 0.031535235 0.18900267
111600 0.031616706 0.18897281
111800 0.031657623 0.18895783
112000 0.031728369 0.18893191
112200 0.031803094 0.18890455
112400 0.03186259 0.18888276
112600 0.031938218 0.18885508
112800 0.031986827 0.18883729
113000 0.031993203 0.18883496
113200 0.032034252 0.18881993
113400 0.032074705 0.18880513
113600 0.032117519 0.18878947
113800 0.032145853 0.1887791
