Time Strain Concentration
95200 0.028267734 0.18915489
95400 0.028363436 0.18911969
95600 0.028428143 0.18909589
95800 0.02849305 0.18907202
96000 0.028558413 0.18904799
96200 0.028623393 0.18902411
96400 0.028702576 0.18899501
96600 0.028764676 0.1889722
96800 0.028805826 0.18895708
97000 0.028866347 0.18893485
97200 0.028937094 0.18890887
97400 0.028990219 0.18888936
97600 0.029044496 0.18886944
97800 0.029116489 0.18884301
98000 0.029161389 0.18882654
98200 0.029208124 0.18880939
98400 0.029235935 0.18879918
98600 0.029283104 0.18878188
98800 0.029338821 0.18876144
99000 0.029383823 0.18874494
99200 0.029440834 0.18872403
99400 0.02950825 0.18869932
99600 0.029593231 0.18866817
99800 0.02967622 0.18863776
100000 0.029724576 0.18862004
100200 0.029775218 0.18860149
100400 0.029844436 0.18857614
100600 0.029890115 0.18855941
100800 0.029953824 0.18853609
101000 0.030079514 0.18849008
101200 0.030165723 0.18845853
101400 0.030217783 0.18843949
101600 0.030276972 0.18841784
101800 0.030326617 0.18839968
102000 0.030374361 0.18838222
102200 0.030434689 0.18836016
102400 0.030499241 0.18833656
102600 0.03057306 0.18830958
102800 0.03061932 0.18829268
103000 0.030725182 0.188254
103200 0.030816402 0.18822069
103400 0.030909575 0.18818667
103600 0.030968052 0.18816532
103800 0.031010568 0.1881498
104000 0.03104138 0.18813856
104200 0.031098052 0.18811787
104400 0.031184454 0.18808635
104600 0.031185525 0.18808596
104800 0.031200728 0.18808041
105000 0.031250246 0.18806235
105200 0.031306462 0.18804185
105400 0.031360479 0.18802215
105600 0.031433381 0.18799558
105800 0.031483325 0.18797737
106000 0.031548489 0.18795362
106200 0.031622139 0.18792679
106400 0.031689564 0.18790222
106600 0.031765547 0.18787455
106800 0.031842418 0.18784656
107000 0.031892006 0.1878285
107200 0.031971554 0.18779955
107400 0.032029381 0.1877785
107600 0.03208215 0.1877593
107800 0.032182346 0.18772285
108000 0.032236357 0.18770321
108200 0.032290676 0.18768345
108400 0.032303945 0.18767863
108600 0.032369974 0.18765462
108800 0.032438207 0.18762982
109000 0.032481437 0.18761411
109200 0.032520844 0.18759979
109400 0.032572263 0.1875811
109600 0.032618678 0.18756424
109800 0.032683761 0.1875406
110000 0.032744017 0.18751872
110200 0.032794186 0.1875005
110400 0.032901189 0.18746165
110600 0.032961188 0.18743988
110800 0.033028251 0.18741554
111000 0.033060951 0.18740368
111200 0.033088998 0.1873935
111400 0.033111839 0.18738521
111600 0.033152244 0.18737056
111800 0.033174897 0.18736234
112000 0.033194559 0.18735521
112200 0.033259054 0.18733182
112400 0.033297402 0.18731792
