time,numberMonsInNetwork
5172000.0,2646.0
5173000.0,2643.0
5174000.0,2651.0
5175000.0,2637.0
5176000.0,2644.0
5177000.0,2654.0
5178000.0,2663.0
5179000.0,2659.0
5180000.0,2663.0
5181000.0,2667.0
5182000.0,2662.0
5183000.0,2658.0
5184000.0,2662.0
5185000.0,2644.0
5186000.0,2642.0
5187000.0,2654.0
5188000.0,2653.0
5189000.0,2668.0
5190000.0,2668.0
5191000.0,2671.0
5192000.0,2661.0
5193000.0,2657.0
5194000.0,2661.0
5195000.0,2670.0
5196000.0,2667.0
5197000.0,2672.0
5198000.0,2671.0
5199000.0,2664.0
5200000.0,2655.0
5201000.0,2653.0
5202000.0,2657.0
5203000.0,2664.0
5204000.0,2665.0
5205000.0,2661.0
5206000.0,2674.0
5207000.0,2664.0
5208000.0,2664.0
5209000.0,2677.0
5210000.0,2678.0
5211000.0,2676.0
5212000.0,2681.0
5213000.0,2662.0
5214000.0,2664.0
5215000.0,2671.0
5216000.0,2654.0
5217000.0,2650.0
5218000.0,2654.0
5219000.0,2644.0
5220000.0,2649.0
5221000.0,2659.0
5222000.0,2661.0
5223000.0,2656.0
5224000.0,2648.0
5225000.0,2644.0
5226000.0,2651.0
5227000.0,2638.0
5228000.0,2632.0
5229000.0,2632.0
5230000.0,2634.0
5231000.0,2641.0
5232000.0,2645.0
5233000.0,2642.0
5234000.0,2649.0
5235000.0,2642.0
5236000.0,2647.0
5237000.0,2641.0
5238000.0,2648.0
5239000.0,2643.0
5240000.0,2652.0
5241000.0,2642.0
5242000.0,2640.0
5243000.0,2624.0
5244000.0,2620.0
5245000.0,2618.0
5246000.0,2626.0
5247000.0,2616.0
5248000.0,2619.0
5249000.0,2609.0
5250000.0,2616.0
5251000.0,2627.0
5252000.0,2642.0
5253000.0,2625.0
5254000.0,2627.0
5255000.0,2616.0
5256000.0,2628.0
5257000.0,2624.0
5258000.0,2639.0
5259000.0,2643.0
5260000.0,2638.0
5261000.0,2641.0
5262000.0,2640.0
5263000.0,2641.0
5264000.0,2644.0
5265000.0,2637.0
5266000.0,2652.0
5267000.0,2656.0
5268000.0,2670.0
5269000.0,2661.0
5270000.0,2652.0
5271000.0,2648.0
5272000.0,2659.0
5273000.0,2665.0
5274000.0,2669.0
5275000.0,2675.0
5276000.0,2686.0
5277000.0,2685.0
5278000.0,2690.0
5279000.0,2691.0
5280000.0,2691.0
5281000.0,2691.0
5282000.0,2703.0
5283000.0,2698.0
5284000.0,2697.0
5285000.0,2693.0
5286000.0,2693.0
5287000.0,2686.0
5288000.0,2679.0
5289000.0,2693.0
5290000.0,2688.0
5291000.0,2690.0
5292000.0,2673.0
5293000.0,2678.0
5294000.0,2672.0
5295000.0,2668.0
5296000.0,2681.0
5297000.0,2683.0
5298000.0,2683.0
5299000.0,2680.0
5300000.0,2688.0
5301000.0,2690.0
5302000.0,2685.0
5303000.0,2670.0
5304000.0,2677.0
5305000.0,2680.0
5306000.0,2692.0
5307000.0,2703.0
5308000.0,2686.0
5309000.0,2667.0
5310000.0,2655.0
5311000.0,2662.0
5312000.0,2657.0
5313000.0,2656.0
5314000.0,2657.0
5315000.0,2658.0
5316000.0,2672.0
5317000.0,2665.0
5318000.0,2652.0
5319000.0,2664.0
5320000.0,2672.0
5321000.0,2668.0
5322000.0,2666.0
5323000.0,2676.0
5324000.0,2673.0
5325000.0,2667.0
5326000.0,2662.0
5327000.0,2651.0
5328000.0,2651.0
5329000.0,2653.0
5330000.0,2634.0
5331000.0,2635.0
5332000.0,2629.0
5333000.0,2637.0
5334000.0,2623.0
5335000.0,2630.0
5336000.0,2638.0
5337000.0,2649.0
5338000.0,2648.0
5339000.0,2646.0
5340000.0,2653.0
5341000.0,2639.0
5342000.0,2638.0
5343000.0,2630.0
5344000.0,2650.0
5345000.0,2649.0
5346000.0,2658.0
5347000.0,2653.0
5348000.0,2660.0
5349000.0,2669.0
5350000.0,2658.0
5351000.0,2665.0
5352000.0,2674.0
5353000.0,2666.0
5354000.0,2651.0
5355000.0,2653.0
5356000.0,2663.0
5357000.0,2680.0
5358000.0,2680.0
5359000.0,2662.0
5360000.0,2649.0
5361000.0,2655.0
5362000.0,2652.0
5363000.0,2658.0
5364000.0,2655.0
5365000.0,2649.0
5366000.0,2661.0
5367000.0,2657.0
5368000.0,2642.0
5369000.0,2659.0
5370000.0,2678.0
5371000.0,2677.0
5372000.0,2685.0
5373000.0,2688.0
5374000.0,2684.0
5375000.0,2678.0
5376000.0,2686.0
5377000.0,2687.0
5378000.0,2665.0
5379000.0,2663.0
5380000.0,2658.0
5381000.0,2647.0
5382000.0,2648.0
5383000.0,2654.0
5384000.0,2651.0
5385000.0,2633.0
5386000.0,2632.0
5387000.0,2634.0
5388000.0,2638.0
5389000.0,2621.0
5390000.0,2626.0
5391000.0,2632.0
5392000.0,2617.0
5393000.0,2619.0
5394000.0,2623.0
5395000.0,2624.0
5396000.0,2624.0
5397000.0,2633.0
5398000.0,2617.0
5399000.0,2625.0
5400000.0,2619.0
5401000.0,2606.0
5402000.0,2609.0
5403000.0,2622.0
5404000.0,2634.0
5405000.0,2637.0
5406000.0,2629.0
5407000.0,2634.0
5408000.0,2625.0
5409000.0,2632.0
5410000.0,2629.0
5411000.0,2625.0
5412000.0,2629.0
5413000.0,2633.0
5414000.0,2634.0
5415000.0,2642.0
5416000.0,2635.0
5417000.0,2650.0
5418000.0,2640.0
5419000.0,2629.0
5420000.0,2624.0
5421000.0,2632.0
5422000.0,2637.0
5423000.0,2652.0
5424000.0,2652.0
5425000.0,2653.0
5426000.0,2646.0
5427000.0,2649.0
5428000.0,2665.0
5429000.0,2656.0
5430000.0,2658.0
5431000.0,2664.0
5432000.0,2685.0
5433000.0,2684.0
5434000.0,2677.0
5435000.0,2668.0
5436000.0,2667.0
5437000.0,2675.0
5438000.0,2683.0
5439000.0,2685.0
5440000.0,2683.0
5441000.0,2687.0
5442000.0,2693.0
5443000.0,2670.0
5444000.0,2660.0
5445000.0,2653.0
5446000.0,2649.0
5447000.0,2660.0
5448000.0,2686.0
5449000.0,2697.0
5450000.0,2690.0
5451000.0,2688.0
5452000.0,2695.0
5453000.0,2688.0
5454000.0,2689.0
5455000.0,2679.0
5456000.0,2694.0
5457000.0,2685.0
5458000.0,2672.0
5459000.0,2668.0
5460000.0,2680.0
5461000.0,2683.0
5462000.0,2699.0
5463000.0,2701.0
5464000.0,2714.0
5465000.0,2736.0
5466000.0,2707.0
5467000.0,2702.0
5468000.0,2686.0
5469000.0,2695.0
5470000.0,2695.0
5471000.0,2693.0
5472000.0,2682.0
5473000.0,2692.0
5474000.0,2682.0
5475000.0,2679.0
5476000.0,2692.0
5477000.0,2676.0
5478000.0,2675.0
5479000.0,2663.0
5480000.0,2663.0
5481000.0,2643.0
5482000.0,2651.0
5483000.0,2637.0
5484000.0,2633.0
5485000.0,2644.0
5486000.0,2652.0
5487000.0,2648.0
5488000.0,2650.0
5489000.0,2645.0
5490000.0,2646.0
5491000.0,2644.0
5492000.0,2642.0
5493000.0,2638.0
5494000.0,2637.0
5495000.0,2638.0
5496000.0,2644.0
5497000.0,2659.0
5498000.0,2650.0
5499000.0,2647.0
5500000.0,2641.0
5501000.0,2625.0
5502000.0,2631.0
5503000.0,2650.0
5504000.0,2650.0
5505000.0,2653.0
5506000.0,2662.0
5507000.0,2665.0
5508000.0,2658.0
5509000.0,2652.0
5510000.0,2654.0
5511000.0,2641.0
5512000.0,2643.0
5513000.0,2650.0
5514000.0,2640.0
5515000.0,2631.0
5516000.0,2639.0
5517000.0,2645.0
5518000.0,2638.0
5519000.0,2662.0
5520000.0,2675.0
5521000.0,2673.0
5522000.0,2682.0
5523000.0,2679.0
5524000.0,2686.0
5525000.0,2689.0
5526000.0,2700.0
5527000.0,2701.0
5528000.0,2697.0
5529000.0,2689.0
5530000.0,2681.0
5531000.0,2667.0
5532000.0,2655.0
5533000.0,2648.0
5534000.0,2650.0
5535000.0,2652.0
5536000.0,2669.0
5537000.0,2656.0
5538000.0,2651.0
5539000.0,2657.0
5540000.0,2652.0
5541000.0,2658.0
5542000.0,2663.0
5543000.0,2660.0
5544000.0,2662.0
5545000.0,2651.0
5546000.0,2659.0
5547000.0,2672.0
5548000.0,2677.0
5549000.0,2692.0
5550000.0,2695.0
5551000.0,2694.0
5552000.0,2681.0
5553000.0,2674.0
5554000.0,2655.0
5555000.0,2658.0
5556000.0,2642.0
5557000.0,2632.0
5558000.0,2628.0
5559000.0,2622.0
5560000.0,2621.0
5561000.0,2631.0
5562000.0,2638.0
5563000.0,2638.0
5564000.0,2653.0
5565000.0,2658.0
5566000.0,2670.0
5567000.0,2658.0
5568000.0,2664.0
5569000.0,2669.0
5570000.0,2668.0
5571000.0,2671.0
5572000.0,2679.0
5573000.0,2666.0
5574000.0,2664.0
5575000.0,2683.0
5576000.0,2690.0
